,temperature,humidity,altitude,rain,sunshine,sow
94,16.65,0.5985,1658.12,145.72,5.08,0
95,18.67,0.6231,1552.02,159.96,4.88,0
96,23.38,0.5988,1570.09,166.32,4.93,0
97,20.79,0.5867,1464.62,163.73,5.15,1
98,19.61,0.6722,1550.69,169.93,5.02,1
99,22.71,0.5297,1561.05,157.59,4.89,0
100,19.47,0.5817,1340.8,150.56,5.01,1
101,16.67,0.6194,1392.34,143.17,5.03,0
102,19.32,0.5687,1401.64,163.98,5.03,1
103,25.67,0.6809,1522.44,151.94,4.86,0
104,19.02,0.5686,1500.16,142.69,5.03,1
105,18.09,0.5532,1416.78,159.51,5.0,0
106,18.02,0.587,1431.97,145.79,5.01,0
107,20.14,0.5439,1536.32,149.18,5.29,1
108,21.23,0.5572,1447.82,157.64,5.05,1
109,16.15,0.6189,1517.05,140.05,5.02,0
110,17.04,0.6796,1732.16,162.11,4.8,0
111,20.38,0.5778,1474.51,164.94,4.99,1
112,22.24,0.6391,1461.1,141.4,4.99,0
113,21.88,0.5468,1307.7,142.07,4.98,1
114,16.71,0.6052,1626.59,152.37,5.1,0
115,20.26,0.5536,1460.12,153.09,4.86,1
116,17.7,0.5999,1349.11,153.32,5.02,0
117,18.4,0.62,1442.53,146.65,4.95,0
118,16.25,0.5135,1535.74,139.29,5.03,0
119,23.5,0.5283,1328.57,160.37,4.98,0
120,17.48,0.6407,1532.47,157.73,5.05,0
121,22.13,0.6055,1539.82,165.72,5.1,0
122,16.35,0.6355,1440.12,157.35,4.97,0
123,20.98,0.5354,1582.96,133.38,4.98,1
124,19.42,0.613,1690.84,147.95,5.02,1
125,21.65,0.5458,1568.62,161.15,4.86,1
126,17.19,0.5606,1473.71,160.66,4.98,0
127,19.65,0.5901,1496.61,157.36,5.0,1
128,19.57,0.6135,1537.5,140.52,4.85,1
129,20.32,0.6239,1520.99,179.61,4.94,1
130,22.02,0.5106,1538.29,128.11,5.06,0
131,19.23,0.6431,1664.53,158.15,4.97,1
132,16.59,0.5715,1433.77,164.16,5.12,0
133,22.45,0.5275,1535.04,162.71,4.94,0
134,17.84,0.6732,1650.57,149.83,5.2,0
135,17.8,0.5964,1415.01,136.43,4.82,0
136,20.49,0.5461,1579.19,140.96,5.2,1
137,18.22,0.5465,1439.19,144.06,5.15,0
138,21.81,0.547,1594.21,153.37,4.86,1
139,19.45,0.5212,1448.3,153.9,5.26,1
140,23.82,0.6672,1697.11,155.86,4.9,0
141,18.61,0.7129,1363.83,155.69,5.08,0
142,23.11,0.7035,1614.46,136.63,5.02,0
143,17.63,0.7151,1469.65,162.32,5.1,0
144,17.0,0.6328,1546.39,159.4,5.11,0
145,18.04,0.6672,1483.35,155.67,5.06,0
146,18.72,0.626,1459.29,149.55,4.87,0
147,21.38,0.4738,1445.28,138.99,5.03,0
148,19.84,0.5769,1414.24,134.2,4.86,1
149,22.87,0.5553,1513.65,157.56,5.1,0
150,19.18,0.4235,1572.08,127.37,5.06,0
151,20.33,0.8317,1599.62,144.13,5.04,0
152,18.91,0.6208,1568.01,146.36,4.83,0
153,17.57,0.6218,1675.99,137.91,5.0,0
154,21.55,0.6481,1406.78,155.53,5.02,1
155,19.05,0.5466,1358.72,163.91,4.98,1
156,17.8,0.678,1453.12,138.39,5.18,0
157,19.14,0.4667,1472.13,168.7,4.89,0
158,21.46,0.5394,1463.89,140.41,4.86,1
159,19.05,0.6704,1527.56,153.3,5.16,1
160,22.22,0.4416,1287.14,145.41,5.07,0
161,18.24,0.5986,1390.71,141.07,4.88,0
162,23.23,0.4851,1517.99,152.45,5.01,0
163,19.35,0.6034,1543.95,153.56,5.08,1
164,20.15,0.6433,1531.06,143.98,5.07,1
165,16.01,0.5533,1323.05,153.35,4.99,0
166,21.81,0.5829,1515.46,140.41,5.02,1
167,20.36,0.6173,1375.36,153.34,4.95,1
168,21.3,0.6248,1584.9,161.59,4.99,1
169,16.61,0.6313,1511.25,141.82,5.17,0
170,22.33,0.7585,1384.3,164.64,5.02,0
171,17.72,0.6095,1521.62,162.41,4.93,0
172,19.01,0.5791,1562.18,151.45,4.98,1
173,18.67,0.5347,1563.83,160.28,4.9,0
174,19.98,0.7064,1323.37,135.32,5.07,1
175,17.63,0.7759,1595.45,171.91,4.96,0
176,21.92,0.5344,1579.4,163.3,5.11,1
177,18.96,0.5969,1437.95,146.91,4.8,0
178,18.92,0.5058,1418.66,136.46,4.86,0
179,23.17,0.4548,1429.39,155.16,4.96,0
180,21.53,0.6843,1485.3,159.75,5.09,1
181,23.9,0.7287,1578.6,165.95,4.98,0
182,17.55,0.7158,1459.77,155.78,4.94,0
183,18.11,0.5655,1591.22,155.12,5.14,0
184,23.17,0.4272,1464.02,146.09,4.97,0
185,22.5,0.6151,1570.04,143.9,4.94,0
186,20.23,0.539,1504.84,142.78,4.95,1
187,18.27,0.7007,1515.22,140.41,4.95,0
188,18.32,0.6286,1353.03,146.32,4.93,0
189,22.69,0.4718,1462.93,150.68,5.18,0
190,14.88,0.6822,1431.32,169.87,5.08,0
191,22.05,0.5396,1358.58,146.83,5.04,0
192,21.83,0.5423,1723.92,152.54,4.83,1
193,20.26,0.516,1339.8,165.27,4.89,1
194,22.17,0.6718,1655.73,135.56,4.93,0
195,20.39,0.6998,1691.16,147.82,4.89,1
196,18.69,0.5754,1437.74,159.81,4.8,0
197,20.18,0.4984,1611.82,162.44,4.88,0
198,17.72,0.5978,1536.15,160.47,4.62,0
199,20.04,0.5946,1404.48,147.74,5.24,1
200,18.42,0.592,1368.73,158.78,5.04,0
201,17.94,0.5513,1420.68,165.18,5.17,0
202,20.09,0.5086,1549.03,137.71,4.74,1
203,24.53,0.6333,1532.01,153.39,5.0,0
204,16.97,0.6494,1438.65,150.28,4.8,0
205,16.74,0.6668,1537.36,170.75,4.97,0
206,22.14,0.7347,1472.93,156.34,5.1,0
207,20.18,0.7548,1473.87,146.22,4.92,1
208,16.75,0.5529,1502.51,155.51,4.88,0
209,17.81,0.7312,1249.58,179.97,5.03,0
210,17.73,0.611,1498.45,152.16,5.06,0
211,22.47,0.5567,1298.65,146.55,4.92,0
212,22.8,0.4217,1670.52,149.71,5.04,0
213,19.88,0.5645,1606.94,146.27,4.89,1
214,14.92,0.5927,1486.5,162.95,5.11,0
215,21.09,0.6292,1548.5,134.7,4.77,1
216,19.11,0.4862,1498.0,153.17,4.83,0
217,20.72,0.7671,1476.24,135.93,5.04,1
218,18.68,0.6392,1530.74,129.08,4.96,0
219,19.04,0.6503,1396.18,158.47,4.91,1
220,15.66,0.69,1480.19,138.09,5.07,0
221,19.31,0.5728,1574.4,160.01,4.96,1
222,18.44,0.5568,1431.72,130.27,5.07,0
223,22.22,0.4287,1519.43,157.45,4.87,0
224,22.41,0.5101,1650.04,143.97,5.08,0
225,19.53,0.7183,1297.58,143.54,4.89,1
226,20.9,0.521,1312.97,151.12,5.01,1
227,22.01,0.7401,1596.45,168.63,4.8,0
228,18.59,0.5254,1394.29,170.29,5.04,0
229,22.09,0.6656,1494.03,151.64,5.09,0
230,24.2,0.6944,1444.28,149.59,4.9,0
231,21.36,0.5772,1363.69,169.03,5.04,1
232,18.24,0.5982,1365.82,133.92,5.03,0
233,21.63,0.7257,1533.38,133.33,4.86,1
234,20.46,0.611,1616.57,155.11,5.1,1
235,23.69,0.661,1610.39,138.59,4.9,0
236,18.95,0.6469,1521.77,166.54,5.15,0
237,20.88,0.4388,1361.42,144.51,4.76,0
238,19.11,0.5167,1552.11,140.48,5.07,1
239,13.03,0.6591,1455.65,137.63,5.19,0
240,18.8,0.4957,1516.95,144.55,5.16,0
241,20.31,0.5835,1633.21,154.55,5.09,1
242,18.03,0.797,1374.78,158.81,4.89,0
243,21.28,0.6877,1480.87,150.24,5.02,1
244,22.6,0.595,1425.84,165.8,5.05,0
245,22.42,0.6333,1403.67,146.35,4.86,0
246,15.2,0.517,1449.71,153.1,4.93,0
247,20.82,0.5671,1244.31,155.43,4.96,1
248,20.66,0.6485,1373.28,136.49,4.83,1
249,20.13,0.5199,1427.4,152.99,4.97,1
250,12.69,0.4806,1437.58,150.39,5.1,0
251,22.61,0.5687,1511.4,152.43,5.05,0
252,16.2,0.5116,1461.59,134.69,4.94,0
253,19.59,0.6867,1521.78,136.99,4.96,1
254,23.21,0.6358,1586.8,171.06,5.15,0
255,15.52,0.541,1271.17,152.69,5.03,0
256,21.22,0.7138,1403.95,155.19,5.04,1
257,18.2,0.6365,1474.43,155.1,5.04,0
258,19.1,0.6284,1462.18,149.78,5.11,1
259,18.59,0.44,1341.71,156.3,5.0,0
260,19.36,0.7937,1397.04,133.07,5.05,1
261,20.51,0.5129,1454.8,148.04,5.07,1
262,22.7,0.6725,1468.67,156.87,4.99,0
263,20.14,0.6018,1549.97,156.18,5.33,1
264,19.33,0.5048,1473.65,156.64,5.09,1
265,19.36,0.5666,1488.87,153.46,5.07,1
266,21.47,0.6351,1509.29,138.08,5.06,1
267,16.39,0.5779,1609.91,162.98,4.91,0
268,18.61,0.651,1480.62,149.24,5.11,0
269,17.21,0.6288,1595.05,142.61,4.95,0
270,19.95,0.5666,1465.11,139.94,4.97,1
271,18.27,0.5389,1598.66,146.9,5.03,0
272,20.75,0.5912,1458.48,141.91,5.1,1
273,17.8,0.4745,1463.11,162.57,4.85,0
274,19.14,0.4648,1461.58,148.38,4.93,0
275,21.75,0.5818,1550.66,146.06,4.87,1
276,16.37,0.5672,1442.83,153.59,5.1,0
277,23.65,0.6347,1646.8,152.43,5.05,0
278,20.54,0.5373,1449.0,151.39,4.95,1
279,17.57,0.625,1475.43,149.07,5.05,0
280,22.6,0.5121,1515.81,145.4,5.07,0
281,21.58,0.5906,1444.8,149.0,4.93,1
282,22.72,0.5942,1476.6,134.59,4.94,0
283,22.02,0.5297,1550.53,143.86,5.08,0
284,18.37,0.5517,1548.51,165.08,4.9,0
285,16.64,0.5777,1573.77,153.78,5.04,0
286,21.14,0.6838,1570.67,151.55,5.13,1
287,16.44,0.4542,1352.13,136.9,5.16,0
288,23.08,0.6371,1306.1,145.98,4.96,0
289,18.88,0.5675,1580.03,142.28,5.03,0
290,20.89,0.6487,1649.95,151.45,4.92,1
291,18.22,0.5909,1428.77,147.37,5.05,0
292,20.68,0.6695,1654.86,131.2,4.98,1
293,20.9,0.4732,1546.58,142.06,4.92,0
294,15.29,0.6723,1522.16,144.73,5.0,0
295,17.85,0.7033,1582.28,137.42,4.85,0
296,16.83,0.4534,1503.45,148.44,4.85,0
297,18.82,0.6998,1452.68,153.83,4.94,0
298,20.95,0.5234,1673.71,140.31,5.08,1
299,15.8,0.5335,1531.46,155.0,5.3,0
300,18.13,0.6273,1568.13,142.62,4.93,0
301,19.03,0.5669,1435.44,137.52,5.16,1
302,17.99,0.5762,1493.93,149.89,5.18,0
303,21.16,0.614,1363.4,149.22,5.11,1
304,18.41,0.571,1470.47,150.64,4.94,0
305,19.25,0.5898,1518.43,146.21,5.04,1
306,18.78,0.6446,1422.15,148.36,4.93,0
307,17.79,0.5139,1497.25,160.47,4.86,0
308,20.01,0.6313,1514.0,140.91,5.02,1
309,19.23,0.541,1247.4,166.63,5.16,1
310,17.22,0.5447,1495.32,154.96,4.91,0
311,15.06,0.5978,1291.12,136.16,5.15,0
312,22.8,0.7798,1632.27,138.92,4.92,0
313,18.5,0.593,1547.81,150.29,5.08,0
314,21.81,0.6534,1488.79,158.81,4.83,1
315,25.81,0.6599,1492.62,129.52,4.97,0
316,14.53,0.6983,1675.46,152.13,4.88,0
317,17.9,0.579,1521.71,155.33,5.04,0
318,19.7,0.4683,1625.71,134.81,5.09,0
319,21.16,0.5239,1606.87,160.16,4.93,1
320,12.75,0.4674,1486.81,163.23,4.91,0
321,20.39,0.696,1599.91,130.23,4.79,1
322,21.54,0.7267,1526.86,166.05,5.08,1
323,19.91,0.5777,1324.41,156.5,4.97,1
324,18.86,0.664,1625.72,174.07,5.12,0
325,20.03,0.6569,1473.77,157.63,5.1,1
326,20.8,0.4469,1458.83,147.69,5.08,0
327,23.45,0.6096,1583.87,172.9,4.96,0
328,22.05,0.6338,1298.74,154.05,4.84,0
329,21.7,0.6745,1334.08,163.96,5.03,1
330,19.33,0.6987,1534.28,155.71,5.01,1
331,19.98,0.5779,1603.87,157.2,5.06,1
332,17.56,0.589,1566.95,153.61,4.99,0
333,21.19,0.6757,1616.52,152.52,4.97,1
334,18.99,0.5952,1414.68,152.77,5.11,0
335,21.9,0.6571,1786.82,147.73,5.2,1
336,26.2,0.6216,1517.63,162.54,5.04,0
337,22.73,0.5484,1560.82,158.38,4.98,0
338,19.26,0.6178,1391.19,144.84,4.99,1
339,23.58,0.6815,1421.05,137.85,4.91,0
340,18.0,0.6679,1709.47,142.05,5.06,0
341,21.35,0.5992,1549.85,141.55,5.04,1
342,20.0,0.486,1336.98,151.17,4.94,0
343,20.36,0.6222,1486.2,145.91,4.97,1
344,17.43,0.7143,1488.99,154.54,4.87,0
345,18.01,0.5005,1485.48,158.03,5.06,0
346,17.19,0.5447,1405.31,150.02,4.88,0
347,19.6,0.529,1666.83,140.73,4.75,1
348,20.66,0.5708,1544.62,138.91,4.99,1
349,17.44,0.6892,1572.63,145.08,4.97,0
350,22.37,0.6398,1641.08,150.15,5.08,0
351,16.81,0.6483,1550.47,154.46,5.16,0
352,20.67,0.4559,1376.6,152.76,4.93,0
353,22.4,0.6374,1570.9,143.91,4.93,0
354,17.67,0.5662,1512.46,155.04,5.02,0
355,20.6,0.6037,1496.27,135.63,4.97,1
356,18.29,0.4927,1573.07,155.29,5.06,0
357,23.9,0.592,1483.38,151.01,4.96,0
358,20.42,0.5326,1466.58,134.98,5.03,1
359,24.77,0.5484,1531.08,138.58,5.06,0
360,22.6,0.6642,1623.74,155.94,4.94,0
361,17.72,0.5956,1494.96,133.23,4.95,0
362,16.63,0.4631,1554.85,138.49,4.82,0
363,19.53,0.5392,1615.74,146.85,5.1,1
364,22.59,0.4002,1443.24,138.28,5.0,0
365,19.74,0.501,1592.71,156.77,5.11,1
366,16.95,0.6448,1487.77,147.23,4.77,0
367,17.36,0.6619,1535.97,161.43,4.85,0
368,22.5,0.5319,1271.06,159.8,4.98,0
369,20.72,0.6104,1560.37,133.34,5.02,1
370,21.33,0.6948,1492.67,159.71,5.01,1
371,22.32,0.6766,1530.27,147.42,5.0,0
372,19.44,0.5812,1537.95,160.82,4.9,1
373,17.52,0.6148,1442.43,149.4,4.97,0
374,21.69,0.6421,1451.22,155.4,4.99,1
375,20.61,0.5405,1753.91,155.57,5.06,1
376,19.86,0.7298,1361.7,166.32,4.87,1
377,24.91,0.6513,1571.08,149.53,4.84,0
378,18.56,0.4726,1447.88,155.92,4.88,0
379,20.63,0.6385,1582.49,157.92,4.91,1
380,20.04,0.6933,1373.04,141.48,5.14,1
381,22.27,0.5166,1472.71,147.63,5.1,0
382,23.92,0.6921,1512.9,157.61,4.99,0
383,22.18,0.6065,1515.28,175.84,4.98,0
384,19.33,0.607,1454.6,160.97,4.93,1
385,22.73,0.4963,1635.19,152.4,4.98,0
386,21.27,0.4952,1454.57,164.79,5.06,0
387,14.42,0.6296,1664.74,161.85,4.75,0
388,20.46,0.6604,1476.9,163.11,5.0,1
389,16.45,0.5608,1421.37,158.82,4.83,0
390,20.23,0.6369,1368.18,162.51,4.97,1
391,15.77,0.5046,1537.18,156.28,4.94,0
392,19.1,0.6425,1486.08,152.87,4.81,1
393,18.65,0.568,1732.74,150.17,4.96,0
394,15.57,0.4242,1494.61,156.13,4.76,0
395,16.75,0.692,1720.79,149.56,4.95,0
396,18.34,0.5422,1504.64,144.09,5.05,0
397,18.24,0.5446,1491.55,146.77,4.99,0
398,22.15,0.469,1410.88,183.71,5.05,0
399,19.44,0.6455,1415.1,146.74,5.11,1
400,19.23,0.555,1457.2,151.69,4.72,1
401,19.82,0.6268,1559.21,142.07,5.06,1
402,19.07,0.711,1618.66,139.23,5.01,1
403,20.84,0.6729,1410.48,149.7,4.89,1
404,17.28,0.5547,1558.55,145.51,5.0,0
405,22.8,0.5752,1531.19,156.3,4.92,0
406,19.52,0.6139,1447.34,153.92,5.02,1
407,16.85,0.6414,1507.95,144.46,5.1,0
408,20.88,0.6089,1334.33,148.79,5.05,1
409,24.8,0.6213,1429.59,143.22,5.0,0
410,24.16,0.6017,1419.13,136.81,4.95,0
411,16.41,0.6013,1408.84,157.08,5.09,0
412,19.15,0.6618,1543.75,141.82,4.94,1
413,22.48,0.7316,1456.29,143.62,5.11,0
414,18.97,0.5728,1535.82,138.09,5.12,0
415,17.57,0.6621,1496.19,146.35,4.97,0
416,20.09,0.622,1433.13,154.51,4.87,1
417,21.82,0.6176,1470.58,150.23,4.95,1
418,19.31,0.4803,1569.76,144.53,5.31,0
419,16.96,0.5854,1403.95,140.6,5.1,0
420,20.26,0.7088,1549.67,150.33,4.88,1
421,18.06,0.4035,1503.87,158.01,5.0,0
422,23.27,0.6458,1436.68,144.34,5.07,0
423,18.28,0.5813,1569.45,138.27,5.1,0
424,20.97,0.5892,1651.27,162.6,5.06,1
425,22.64,0.552,1533.9,156.74,5.05,0
426,18.79,0.6047,1357.29,151.66,4.92,0
427,19.14,0.6083,1500.78,146.46,5.04,1
428,22.36,0.5329,1543.77,144.92,5.05,0
429,22.86,0.611,1567.48,159.85,5.09,0
430,16.3,0.6631,1500.5,152.26,4.97,0
431,22.13,0.5881,1439.48,144.04,5.17,0
432,22.65,0.447,1594.42,158.85,5.09,0
433,20.12,0.5804,1378.62,162.09,5.05,1
434,17.42,0.6206,1519.87,140.22,4.8,0
435,17.35,0.5483,1413.32,131.56,4.88,0
436,15.7,0.5183,1585.4,132.68,4.98,0
437,20.67,0.5354,1300.83,159.58,5.07,1
438,18.99,0.6093,1438.19,156.03,5.02,0
439,20.31,0.5188,1332.64,130.39,4.91,1
440,24.93,0.6545,1296.91,163.08,4.92,0
441,18.16,0.5969,1587.6,154.57,5.15,0
442,19.61,0.634,1537.38,139.85,4.99,1
443,20.04,0.6075,1529.1,131.68,5.03,1
444,14.32,0.5226,1556.54,139.04,4.97,0
445,18.69,0.6006,1487.19,155.85,4.9,0
446,20.05,0.6189,1517.43,168.95,4.97,1
447,19.11,0.6813,1402.39,167.41,5.1,1
448,23.26,0.6512,1480.2,166.94,5.11,0
449,22.42,0.637,1513.92,164.02,4.94,0
450,18.34,0.5717,1323.6,146.54,4.84,0
451,20.54,0.6499,1535.84,149.2,4.87,1
452,23.36,0.5379,1537.7,142.97,5.09,0
453,23.12,0.5409,1610.67,152.05,4.95,0
454,16.75,0.6226,1528.84,161.62,4.96,0
455,25.83,0.5246,1569.22,161.7,5.0,0
456,18.82,0.5484,1316.03,152.89,5.05,0
457,20.99,0.5406,1506.66,162.59,5.0,1
458,20.93,0.5755,1368.0,141.92,5.02,1
459,21.25,0.4994,1401.12,127.98,5.01,0
460,20.15,0.583,1405.99,146.81,5.03,1
461,20.97,0.7954,1382.27,158.03,4.94,1
462,21.21,0.643,1669.77,147.79,4.99,1
463,23.19,0.7311,1490.56,161.11,4.94,0
464,16.12,0.6161,1526.22,158.65,4.98,0
465,20.12,0.6366,1673.28,149.27,4.97,1
466,18.1,0.7,1784.35,142.63,5.04,0
467,18.02,0.6942,1408.01,144.68,4.99,0
468,19.77,0.6152,1468.3,159.44,4.99,1
469,21.25,0.5362,1664.55,153.5,5.11,1
470,20.62,0.7097,1476.39,151.43,5.01,1
471,24.99,0.5009,1524.8,162.59,5.05,0
472,18.0,0.5127,1460.71,155.97,5.15,0
473,24.68,0.3821,1433.13,146.87,5.24,0
474,19.57,0.5876,1550.86,143.13,5.02,1
475,19.64,0.5875,1406.87,156.98,4.96,1
476,23.21,0.6442,1564.29,143.02,5.11,0
477,17.32,0.7612,1328.07,145.6,4.91,0
478,23.25,0.6338,1430.74,157.08,4.94,0
479,23.16,0.5092,1694.27,144.67,5.0,0
480,19.97,0.6767,1611.98,137.53,4.84,1
481,16.98,0.5987,1461.39,141.75,5.11,0
482,19.9,0.5516,1551.74,143.77,4.97,1
483,18.04,0.624,1546.34,156.57,4.94,0
484,17.47,0.533,1480.97,155.18,5.22,0
485,23.24,0.6251,1505.18,155.07,4.92,0
486,18.12,0.6358,1517.49,136.2,4.97,0
487,20.07,0.6681,1501.32,150.3,5.03,1
488,19.02,0.5457,1549.15,158.26,5.11,1
489,23.4,0.5051,1407.48,158.34,4.86,0
490,17.26,0.656,1560.45,167.21,4.9,0
491,22.67,0.6947,1434.66,155.19,5.02,0
492,20.23,0.6337,1434.58,153.11,5.08,1
493,17.22,0.603,1506.3,147.95,4.94,0
494,19.66,0.6311,1585.86,145.9,4.93,1
495,20.42,0.6567,1487.22,153.45,5.03,1
496,21.17,0.6788,1625.56,142.52,5.17,1
497,15.31,0.548,1445.45,152.9,5.01,0
498,18.46,0.5739,1532.31,139.09,4.9,0
499,17.54,0.6544,1354.28,149.87,4.88,0
500,17.43,0.6378,1698.7,147.27,5.05,0
501,19.43,0.5688,1321.9,148.8,5.13,1
502,16.97,0.6267,1529.3,150.69,4.99,0
503,21.68,0.4595,1365.73,158.23,5.18,0
504,18.77,0.6787,1335.37,170.06,5.23,0
505,22.21,0.7143,1568.12,137.72,5.08,0
506,21.87,0.626,1667.77,157.19,5.02,1
507,20.42,0.8493,1425.91,155.34,4.93,0
508,24.78,0.6414,1386.44,167.82,5.06,0
509,17.3,0.6112,1381.79,150.78,4.97,0
510,22.35,0.4896,1671.63,163.42,4.98,0
511,18.94,0.5781,1339.47,151.71,4.95,0
512,19.59,0.5098,1535.53,124.35,5.1,1
513,18.84,0.7134,1367.57,150.69,4.98,0
514,20.7,0.6241,1628.46,166.08,4.85,1
515,18.72,0.4481,1645.09,160.54,4.83,0
516,22.83,0.5263,1687.01,152.41,4.97,0
517,20.17,0.6456,1580.35,155.27,4.99,1
518,17.06,0.6457,1490.24,157.29,4.95,0
519,19.54,0.4781,1549.95,163.46,5.03,0
520,17.82,0.5721,1427.46,140.27,5.11,0
521,17.64,0.6268,1453.77,150.3,4.83,0
522,15.08,0.5852,1703.38,136.9,4.95,0
523,23.88,0.6194,1583.48,145.64,5.1,0
524,18.58,0.6337,1651.11,138.97,5.0,0
525,16.14,0.7588,1379.04,143.19,5.01,0
526,21.38,0.5821,1548.87,147.67,5.01,1
527,18.75,0.5461,1403.72,149.67,4.97,0
528,19.45,0.6782,1431.2,157.9,5.19,1
529,14.64,0.6285,1554.58,149.22,4.91,0
530,21.37,0.5553,1646.89,146.66,5.05,1
531,23.66,0.5609,1696.6,137.54,5.13,0
532,22.1,0.4721,1458.62,151.06,5.06,0
533,22.54,0.737,1414.31,145.57,4.96,0
534,21.25,0.4701,1382.88,149.27,4.91,0
535,18.57,0.3568,1450.79,146.25,5.04,0
536,18.72,0.6142,1474.66,137.48,4.97,0
537,18.77,0.8185,1442.39,154.18,4.87,0
538,21.98,0.6254,1432.51,143.72,5.09,1
